id,tweet,label
19,je vous dit bonsoir..je suis crevé et j'ai une pensée pour tout mes twitous..méme ceux ou celles qui ne m'ont pas donné signe de vie...on a tous nos existences..mais parfois un clin d'oeil de 10 seconde suffit...bises!! https://t.co/Yrh6stRl4F,0
20,@___flemme___ Tu n’as plus le negro pass désolé,1
21,"@ActusNonStop Rassurez moi, c'est pour leur bien, n'est ce pas ? On sait que vaccinés comme non vaccinés contaminent. Donc ce n'est pas sanitaire. Mais au moins pour leur bien. Hitler, non?",0
22,Voilà qui a chopé la crève ! https://t.co/bfEGuSy4Zg,0
23,"@cemhkl @DeTroie_ @icihoward @Payno_Alison Ses idées sont pas globalement fausses mec, Paxton dit que Pétain c’est Hitler et qu’il a tuer des juifs et sauver aucun, Zemmour dit que pétain a échanger les juifs étrangers contre les juifs français ",0
24,@___flemme___ Wahhhhh ce negro est blanc!!!!!,1
25,"Nous savons tous, sans exception, qu'Eric Zemmour n'est pas le nazi que cette meute politique bien pensante, soutenue par les medias aux bottes, s'attache à dépeindre. Leur hypocrisie les a déjà disqualifiés. https://t.co/CNcIuVe1Jf",0
26,"@54_nounours Comme me l’a dit un allemand un jour, Hitler a tué 6 millions de juifs, alors qu’il aurait pu dominer le monde avec eux à ses côtés. N’essayez pas de penser à la place des fous.",0
27,"Avec la mairie de Paris, ami banlieusard, le message est simple : pédale ou crève 🚲 https://t.co/ckh39BeHhg",0
28,@petaramesh J’ai appris ce mot en lisant l’autobiographie d’une femme qui a subi les camps de concentration nazi,0
29,@DavidMn03637745 @ValRobert974 Je fais ça je crève direct ⚰️,0
30,suis en train de chopper la crève envie de mourir là,0
31,"""@Yoann_IV HITLER a échoué uniquement parce que
",0
32,"""@EPeuplu @FavreZian Imagine juste un rat.
",0
33,"""Alors pourquoi a-t-il été conçu?
",0
34,@Diddy02G Mon negro j’te parle de survêtement Nike ce genre de chose man,0
35,"@idrissaberkane Absolument et pour pouvoir discriminer puis exterminer des millions de Juifs, Tziganes, vieillards, handicapés, opposants, sans que la population Allemande n'en soit choquée et l'accepte, Hitler leur a fait croire à une épidémie de Ti",0
36,"J'ai jamais vu Hinti dribbler, au pire je crève https://t.co/RwTP6ADU9x",0
37,"@zemacplayer ils auraient pu attendre les patch next gen quand même, alors ok la il y a une petite hype parce que promo mais quand même c'est fait vraiment crève la dalle",0
38,Grosse journée... Crevé... https://t.co/YpIlA4zjRL,0
39,ewen il m'a dit creve pas hein je suis officiallement le MAILLON faible de notre equipe,0
40,"j'en peux plus de tout ce cirque médiatique autour de zemmour putain montrez nous de vrais candidats qui ont de bonnes idées, marre d'entendre parler du nouvel Hitler",0
41,"""@hostrogo Comment ça on l'a pas vu venir ??? C'était littéralement (et a toujours été) le projet DEPUIS LE DEBUT !!! 
",0
42,@veroniquegenest Un sale nazi oui,1
43,@LucieLaplace @CedricHerrou @FranceInsoumise @PrimairePop Vous semblez ignorer que certains journalistes sont diplômés et que certains chercheurs stupides. Le mépris bride l'intelligence. J'ose espérer que les gens que vous cotoyez ont un autre état ,0
44,bro diego il aime mes messages à la SECONDE mnt je crève,0
45,tout le monde crève chez moi,0
46,"""@Ed_Warner007 @JeVooZemToos @ambassador_doge @Valeurs Je confond rien du tout. C'est la vérité historique sur l'assassin que ta comme prophète.
",1
47,chiale !!!!! et CREVE !,0
48,@CarneDeTwit @f_philippot Alors démonter quelque chose d’aussi simple c’est niveau maternelle. Votre 1er tweet le terme nazie apparaît. Donc vous avez atteint vous le point Godwin en un seul tweet et après vous dites ne pas parler de Shoah??? Rassu,0
49,"@HistoireOdyssee C'est souvent le problème des artistes, c'est quand ils ne sont plus là que leur œuvre est jugée pour ce qu'elle est ... Du coup, il crève la faim de leur vivant, mais leurs œuvres rapporteront gros, mais pas à eux ...",0
50,J'ai trop faim là la quiche sent trop bon je crève,0
51,"@IcelandRaphael @olivierveran @Assur_Maladie Bravo bravo, vous venez d’apprendre que le vaccin n’est pas là pour dire au Covid “stop, tu ne rentre pas”, mais Plutôt pour éviter que tu crève du Covid.",0
52,Prise en main du Xperia Pro-I : un smartphone à 1800€ qui bride son capteur 1 pouce...,0
53,"@aidanlf Avec un big mac, une heure plus tard on crève la dalle, ch'ais pas si ça fait le même effet avec lui 🤣",0
54,"@RERD_SNCF Corbeil vs Melun : une fois encore, mêmes problèmes, traitement different. Un favoritisme flagrant et récurrent qui crève les écrans tous les jours à Gare de Lyon @RERD_SNCF, quand aurons nous une explication honnête ? https://t.co/K9F3h",0
55,Vidéo de propagande Nazi https://t.co/WeGUNiwU9G,1
56,@arbolitodechoco @f_philippot @AngelaMerkel_DE Es nazi,1
57,"""#ZEMMOUR a été rejeté et exclu de très nombreux groupes officiels pour son #comportement incorrect et sa #psychorigidité, renseignez-vous dans les médias alternatifs d'internet genre #odyssée, pour commencer.
",1
58,@BAN05063867 Qu'il crève ce pourri  ! ✊🤬,0
59,@Vmxour Carrément on est crevé,0
60,@jospi31416 @NubePfizerise @GagnerDeLaTune @dre_sunshine Un crève cœur j'imagine,0
61,"@licorne_8450 @PATRICKJARDIN15 @ZemmourEric @karim_naim86  tu as vu les fans , admirateur du sabre du goupillon, anti musulman, anti juif bref les nazi, ils osent tout! Le tutoiement les insultes. Je te refile celui-ci pour te défouler ! 😉cadeau 😂",0
62,"Crevé comme un boudin, mais ... Jeudi picolo quand même. https://t.co/cEaU95esGN",0
63,@libreetserein @lynns68gwada971 Avec vos doses de rappelle à l'infinie 😂😂😂 vous allez crevé bien avant nous et c dans très bientôt 😜 Espèces de 0 cervel 😂😂😂 https://t.co/12Und6GoT1,0
64,@f_philippot Le mal nazi se répand à nouveau dans le monde😟,1
65,"""""""Oh mon Dieu, les antifas nous attaquent!"""" un toubab fragile. https://t.co/mTPE7WDgpz""",1
66,"""@tessierf171 un nègre de service, un Oréo, un oncle Tom, etc.
",1
67,Et tout ce que tu sais c’est que le reubeu fumait de la bonne beuh,1
68,Les petits Hitler sortent du bois... leur monde est à vomir. #fuckthenwo https://t.co/WprU4mcXoN,1
69,Le championnat espagnol est entrain de crevé et il compte sur nous pour renaître,0
70,Mais n'importe quoi il s'ennuie a mourir sa crevé les yeux #TPMP https://t.co/h0IUcPRdp6,0
71,"Vous la voyez venir, la tyrannie, Messieurs les Sénateurs ? Lesquels vont taper du poing sur la table pour nommer l'outrance d'un produit expérimental imposé à la Nazi ! @loichervepublic @alainhoupert @BasPhilippe @GuillaumGontard @MichelSavin38 @didier_rambaud @VALLINIAndre https://t.co/NIYDfVJn7r",0
72,@MaghrebiaAsala @borderlynes @Tenshouichi @ThibaultSansEau tu vas te calmer le bamboula,1
73,"""@Nadya_Lou006 Depuis la nuit des temps, les nations puissantes ont cherché à s'imposer au monde pour en faire une province. Tous se sont cassé les dents. Le dernier en date, c'est Hitler.
",0
74,Gio il me parle sur 4 application.. t’es pas ma meuf negro ( c’est à cause de moi ),1
75,@devochk496 Mais c'est une horreur un cauchemar ! J'ai l'impression qu'elle parle d'une panne de voiture... Et elle passe a la tele histoire de pousser l'humiliation. J'ai envie de crevé,0
76,@giberpa @MathieuSlama C'est exactement ça.. un nazi psychopathe cet homme est tout ce qu'il y a de pire!! Lui le dieu au milieu des inutiles.. je reviens encore a ça mais cette vidéo m'avait tellement choquée!,1
77,@Moha_lassel Xptdrrrrr crève,0
78,@alexandreczrl @ElevePingouin Clairement hahahahaha purée il était au bout de sa vie mon tel jusqu’à qu’il crève aux fond des chiotte vraiment j’ai mérité mon iPhone,0
79,Le negro qui s’est envoyé à Châtelet a réussi sa mission là 😭,1
80,@MizPoline Même Hitler a de plus jolies couvertures.,0
81,"@AldoSterone111 2/2.Le plan mondialiste ne visait à rien d’autre qu’à l’instauration d’un ordre universel que Hitler, s’il gagnait la guerre, se proposait d’imposer sans ménagement au monde des hommes. Ils ont donc continué après sa défa",1
82,Les têtes de gondoles socialos comme Mussolini et Hitler aiment le pluralisme et la liberté d’opinion. https://t.co/N7nQNz0fQ8,0
83,"L’Allemagne et l’Autriche redeviennent un état nazi ... Discriminations, apartheid et bientôt déportements et puis extermination ? ... 🤢🤢🤮🤮🤮🤮🤮🤮🤮 https://t.co/7tKcaExJeU",1
84,"""@MrJohn_dvro Ah mais oui
",0
85,Un état NAZI ne changera jamais ses idées ancrées dans leur tête de moineau. https://t.co/JzXVBcYalC,1
86,"Un coifure divine. J'ai croisé un petit reubeu locsé, il etait magnifique. https://t.co/rnJiXixJFq",1
87,@MohAviion Dans les années 1900 pour tuer Hitler quand il était enfant,0
88,@Nicolas68774292 On avait déjà perdu ont les a quand même battu + les nazi qui vole leur essence pour fuir je suis mort,1
89,@Eoreen_ OH LE NEGRO MIELLEUX,1
90,"@CarneDeTwit @f_philippot En 1932 le but d’Hitler était déjà de s’en prendre aux juifs et faire un peuple aryen sans handicapés, lgbt et tzigane. Je ne savais pas qu’en 2021 en France on préconisait la Shoah. Les mots ont un sens et c’est pou",0
91,Je suis pas mort je suis à Toubab Dialaw https://t.co/QW7mgE1Z8H,0
92,@AldoSterone111 1/2-Ce complot mondialiste est d'une telle ampleur qu'il est difficile de désigner un seul responsable.Hitler disait que le Saint Empire romain devait être rétabli et avait vociféré que le national socialisme durerait mille ans.,0
93,"""@Zeffyra1984 À l'inverse il y aussi ceux qui jugent les collabos du passé avec les yeux du présent.
",0
94,@JeanBambois6 @Napoleone750 Qu’il aille à la mosquée rire dEric Zemmour. Sale race,1
95,@fatma_cht j’avoue même karatsev jsp,0
96,@RodTapieM Bjr vousbonjour vous ne me connaissez pas cependant votre père et ce nom tapis m'a donné la niaque de plus petit et vive le dictaphone du portable j'espère que tu vas bien car je recommence en passer à vous j'espère que votre mère et gran,0
97,"« Le constat que dresse Eric Zemmour, à bien des égards, je le partage, disons qu’on a le même » #EricCiotti les deux Éric partagent un prénom d’origine germanique qui va de pair avec une idéologie identitaire #Islamophobe #Pétainiste et #Nazi = 2 #Fils_de_Pétain ! 🖕🏽 https://t.co/idNbMZ3K62 https://t.co/16FAuU3sGO",0
98,"Chui un negro régulier, pas spécial",0
99,@LaliCidjah @__Denilsoon_ @RERB @Qofficiel Facho … seul argument facho ?? Vous savez ce que c’est le fascisme ? Hitler Staline mussolini les frères musulman voici le Fascime !!! Va falloir trouver des arguments plus convaincants!! Le gauchiste ? Voil,0
100,#PonoGay #BeurGay - Deux faciales à la suite pour une petite frappe du quartier : https://t.co/O77UMWvKlA,1
101,"""j'ai envie de pleurer mélo est si petit, si mignon
",0
102,"""Premier anime : Naruto
",0
103,"@Clelest @ccg_ad91 @VincentLanies @ZemmourEric Ont les traites comme ça car eux même traite d’extrême droite , fasciste , nazi homophobe etc quand ils n’ont plus d’argument",1
104,"@MamzelleNaf souvenir de fac, un prof foufou l'eau pure qui vient de la montagne sur résurgence, avec un mouton crevé en karstique, la douve du foie, il est rentré en urgence. Et on a bien rigolé (ceux qui avaient fait hydrogéologie)",0
105,"@AncKou_ @Bunker_D_ @GaelleGiroud Ah ben c'est sûr qu'en jouant la fausse neutralité et en demandant comme un benêt à un juif et à un nazi ce qu'est un juif, ils vont pas donner les mêmes réponses.",0
106,"Être nègre se voit toujours, un jour ou l'autre. https://t.co/H6nbsQuPXg",1
107,Mais c'est une mentalité de nazi ca https://t.co/0ONr0diGtV,0
108,@NoAsbelTown @Esban_ Et tu feras quoi de tous ceux que t aura torturee pour rien? Tu devras leur mettre une balle dans la tete sinon quand il sortiront ce seront des salah abdeslam ou merah que tu auras cree.,1
109,"""La traque des nazis... 
",0
110,@AldoSterone111 On aurait surtout jamais dû permettre à Hitler de detruire l'Europe. M'enfin bon apparemment a cette époque la les États Unis ont accordé des prêts très généreux à l'Allemagne pour qu'elle conduise ses politiques.,0
111,@CamChauss Le père Noël c est le 25 60% de la droite migré chez marine pas chez le petit Hitler,1
112,"""@PhilippeMurer @AldoSterone111 Si on fait pas le #Frexit 
",0
113,@xavierbertrand @lesRepublicains @vpecresse 🤣🤣🤣🤣🤣 Comment on dit déjà ?  Ah oui : DANS TON CUL LE NAZI !!! 🤣🤣🤣,1
114,"« Le constat que dresse Eric Zemmour, à bien des égards, je le partage, disons qu’on a le même » #EricCiotti les deux Éric partagent non seulement un nom d’origine germanique qui va de pair avec une idéologie identitaire #Islamophobe #Pétainiste et #Nazi = 2 #Fils_de_Pétain !",1
115,"@BFMTV Crève, sombre 💩",1
116,Il prenait presque plus de trucs qu’Hitler https://t.co/hMacDoa2gn,0
117,@Kukicat7 Qui sème le vent récolte la tempête. Il ne faut pas jouer à l’apprenti nazi au risque de se brûler les ailes l’ami Gunner.,1
118,@annick_OL @aucunnomdelibre @CommanderTorenn @Dadoo5152 @AlainDuhamel Un youpin antisémite... On aura tout lu !,1
119,Même la dictature d'Hitler était plus flexible https://t.co/Mu154q5w2q,0
120,@PhilippeMurer Pays de nazi,1
121,"""Y'a pas vraiment de fin à ce fil, pas vraiment de but. """"C'est comme ça"""". C'est la réponse la plus """"logique"""". C'est """"en marche ou crève"""", tu sais. 
",0
122,j'creve ils sont tous beaux https://t.co/gr6yaDAx4s,0
123,Des aquarelles d'Hitler et deux citations de Céline sur fond de Wagner ça posait sans doute moins de problème.,0
124,@PhilippeMurer Régime nazi.,1
125,"""J'suis toujours sur le cou, comme chaîne en or
",0
126,"@itsflat7 Régime nazi, pis comme dans le temps le peuple n'y voit que du feu 😓",0
127,@tical10 @ExBarcaFan74523 @ConflitsFrance Le fameux nazi juif séfarade sioniste et la femme féminise nazi socialiste mdr,1
128,@victeurrrr @phaztt @EliasLeRetour Tes ultra gênant avec ta pp de melchior que fait le signe nazi ....,0
129,"@JLGagnaire @tcabarrus Est-il acceptable de tenir de tels propos à notre époque ? Fasciste en puissance, nazi refoulé, cancer de l'humanité...",1
130,Les allemands doivent se soulever contre ce régime de plus en plus nazi. https://t.co/kXjc4s0h07,1
131,"""@Rislam2account """"nazi"""" cmt t'abuses mdddr""",0
132,VENDREDI J'AI MES NEVEUX YOUHOUU JVAIS ÊTRE CREVÉ MAIS JSUIS CONTENTE,0
133,@VaeVix @Mart_Inangel @Timeo_Danaos L’autoroute à 40 tonnes voir peut-être plus à cause des batteries c’est pas très safe quand tu es à l’arrêt avec un pneu crevé,0
134,@idrissaberkane Les nazis sont de retour en Allemagne. 75 ans après leur défaite et en plus ils dirigent l'UE. Belle victoire de Hitler à titre posthume.,1
135,@PierreMarionnet oui mais !!! c’est fasciste !!! c’est nazi !!! c’est raciste !!! https://t.co/ZarRhfeiF7,0
136,"""@PhilippeMurer Le prix Josef Mengele du """"Médecin le plus ignoble de l'année"""" sera remis à l'heureux lauréat à Munich en mars 2022 des mains mêmes de la descendante du célèbre médecin nazi. De très nombreux médecins français sont déjà nominés pour obtenr cette prestigieuse récompense""",1
137,"@djoulye @LiorahDouge @barriere_dr @MahmoudZureik Oh un grammar nazi. Sur un RS où on tape depuis le téléphone. Quel argumentation en or. Mme y est, et j'ai 2 enfants scolarisés en mater et en élémentaire. Je suis assez au courant de ce qui peut êt",1
138,"""@TPtiripou Je condamne les crimes du nazisme.
",0
139,Hitler quand il a foiré son putsch https://t.co/QzHyCi6cN9,0
140,"@R_Massing_16_66 @MireilleGerma55 @Elpis_R Et toi t'as quoi dans le ciboulot ,petit 🐑🐑🐑obeis a Veran ,fait tes 10 doses annuelles et crevé bête comme tu es😂 ,nous on garde notre santé non vaxx en pleine forme sans comorbidites",0
141,@PhilippeMurer Purée Hitler est revenu ça y est!!!,1
142,"Denvers c’est après on l’a chopé il dit « changeons de sujet », negro t’es plus dans notre groupe sale haramiste 😭",1
143,"""Dans mes archives : 
",0
144,"Restaurant Manager – Creve Coeur, MO 63141 https://t.co/3WhUqMeYw9",0
145,"""@LindaKebbab Tout nos souhaits de bon rétablissement à ces courageuses Fonctionnaires de Police, soyez assurées que nos prières vous accompagne également.
",0
146,@eden_dsx Crève en enfer et avec tes convictions à deux francs sale pute,1
147,"@neigienfb @Wolfa_93 @lekrokow @PierreJov5 @thevone7 @sugarbzbyz C'est quoi ces conneries ? Hitler aussi avait des sympathisants et des ennemies, ça veut dire qu'il était dans le vrai ? Ça vous arrive de réfléchir ?",0
148,Wesh c est le nouveau hitler le gars https://t.co/1YXxH4Njct,1
149,"@PhilippeMurer Rien de nouveau sous le soleil. Les plus grands supporters du régime nazi renouent avec leur histoire : Allemagne, Autriche, France en tête",1
150,@Alphanumrique2 Il faut peut être déjà lui dire que c'était l'extrême gauche Hitler c'est le premier truc que j'ai appris a l'école sur la 2GM.😑,0
151,"@TPMP @C8TV Benhaïm + Elmalleh c'est pas possible, je zappe. Quant à Cyril, c'est peut-être qu'il faut être con pour porter un blouson de m'as-tu-vu en studio, au risque d'attraper la crève quand on sort....",0
152,Même hitler est choquer https://t.co/XGxExkth68,0
153,On voit que heeseung je crève 😭 https://t.co/JpaG95xWtm,0
154,@tigeraido T’es sortie avec hitler ou quoi,1
155,"@MushobekwaMa Si Hitler était vivant il n'allait pas ouvrir sa bouche pour parler,il n'y a qu'en RDC où les prédateurs , voleurs,ont le courage de parler sans honte, pendant le régime sanguinaire incarné par la kabilie le vol est une compétition et ",1
156,@JReberlan @CPASGAGNE69 @christine_kelly @franceinter Vous faites l'éloge de l'extrême droite Hitler a mis l'europe chaos c'est pour ça qu'il fallait l'UE,0
157,@cardJulien Pfizer. J'ai été malade 12h à la 2e injection et là actuellement je suis crevé et mes reins déconnent,0
158,@MathieuSlama Peut on débattre avec un nazi,0
159,comment je fais faire vous voulez que je crève ou quoi?? où est ce que je vais regarder modern family pour la 7eme fois????? https://t.co/iXylvqEroT,0
160,"""@feraiuncourrier @yesorno32845159 @batiste17180 @CValande @ZemmourEric Vous y étiez où en 39 lorsque les troupes allemandes ont mis la France à genoux en 1 mois. 
",0
161,"@kennedysneant @Lencyclopediste C'est pas le sujet, je disais pas ça pour dire que les musulmans étaient nazi juste que l'attrait d'hitler pour l'islam était réel",0
162,@Nazi_m18 Hamilton veut sucer tout le monde pour ce faire bien voir a en devient complètement comique,0
163,"@Portes_Thomas #AnneMaSœurAnne, si je te disais ce que vois venir... Anne, ma sœur Anne, j'arrive pas y croire, c'est comme un cauchemar, sale cafard...elle ressort de sa tanière, la nazi nostalgie...elle a pignon sur rue, des adeptes, un parti...la vo",1
164,"""Z'humaine elle a rouspété en rentrant: """"oh non! J'en ai marre! Après les trains supprimés, le pneu crevé, du vomi partout!""""... Ben les trains et le pneu, cé pas nous! On y peut rien. Faut pas ezagérer konmême!""",0
165,@Alpha_Drek Ah ouais bah tu a eu la crève au taf,0
166,"""@lobs """"Antifas"""" ce noble mot de gauche qui cache une violence digne des nazis en 39.  #antifas #nazi #hitler""",1
167,"L’Autriche, l’autre pays d’Hitler…@AustriainFR https://t.co/FoRNJAbB0H",1
168,"""@chrisoff10 @LaurentOzon @Sauvadet Très loin c sûr, même si ça sent la fin de la fête pour beaucoup, donc par extension pour tous !!!
",0
169,"@Elsa_Gambin Je les ai tous gardés depuis 3 ou 4 ans maintenant, je voulais faire un machin artistico-sociologique mais je suis tellement fatiguée mentalement que j'arrive pas à structurer le bouzin! En tout cas c'est flagrant, j'en utilise de moins en",0
170,"""C’est à quel gouvernement sera le plus abject.. 100euros d’amende pour les+ de 60 ans non vaxx en Grèce! 
",0
171,"@724148_1993 Je mange, je révise mon contrôle sur Hitler jv parler à cette salope irrespectueuse",0
172,"""Hitler  à Hermann Rauschning:
",0
173,J'suis crevé.,0
174,"""Au XXEME siècle, le stéréotype du fasciste nazi était un homme blanc, de bonne famille, svt bourgeois.
",0
175,ce nazi bon teint au geste menaçant est irrespirable ✊✊✊ https://t.co/A1l06svl0o,1
176,"""On ne vous laissera pas faire tellement vous êtes inhumain
",0
177,le nouvel hitler on l'a Schwab a dit que Macron est le GUIDE (le Fuhreur) https://t.co/WM1OvcknuZ,1
178,Sale race d'égoïstes de merde,0
179,"Lyndon souffrait d'un trouble, le syndrome de fatigue chronique, dont il fut diagnostiqué. Pour faire simple il était constamment fatigué pendant de longues périodes, et malgré de gros sommeils (8 heures), il était crevé (Et faisait aussi des malaises.). 12/43",0
180,"Le mec shooté au vaccin prêt à se faire injecter 14 doses mais qui crève de trouille quand il croise un non-vax ! Y en a franchement c'est d'un psy dont ils ont le plus besoin, pas d'un vaccin !! https://t.co/2YqoSo13Nf",0
181,"""@StephBeren @EdgardRiviere @RaisonJ @richardsurterre Bien sûr oui. Comme ça vous auriez dit """"Regardez il appelle à frapper ses opposants bouh facho nazi terroriste ! (no joke c'est vraiment les termes qu'on m'a attribué)""""
",0
182,Il aura mis fin au suspens en l'espace d'un quart d'heure avec un double jaune digne des plus grands esthètes. Et il met également fin à l'hégémonie des latéraux dans le game du pneu crevé. Bravo @PalloisN 🍻 https://t.co/xO6yszmejH https://t.co/OTCh22vdgY,1
183,"""@Bienuquoi14 @Lencyclopediste Hitler ne s'est jamais caché.
",0
184,Je prépare un thread pour tous mes negre https://t.co/tEtAxktSe9,1
185,"@AldoSterone111 Non , puisque la il la reproduisent sur leurs peuple via une U.E fondé par les usa et d'anciens nazi",1
186,"@AldoSterone111 Les nazis resteront toujours les nazisw il attendaient juste le bon moment pour recommencer. Comme l’avait dit Hitler à sa mort, il faudra 100 ans pour tout recommencer. On en a eu 80 pour que les nazis reviennent.",1
187,"""Hitler la rêver, l'europe le fait.
",1
188,@christine_kelly @franceinter Les idées de @StephanTroussel ressemblent beaucoup à celles d’Hitler ou Lénine pour le coup 😉,0
189,J'ferais jamais de trêve et tant pis si j'en crève,0
190,"""virez cette """" pourriture""""  macronarde !  un nazi  !  un grand malade  de la tête ! https://t.co/JLv9Sn6ZWN""",1
191,Fascist republican profiteers nazi coup https://t.co/e5abjSWwFs,1
192,@Clementl_vf Fuck un putain de negro qui jalouse son frère,1
193,Vais me tuer elle pense que Hitler a fake sa mort ?????????? https://t.co/aoV1Vo3DOx,0
194,"@pittbull_grrr @PaulMaxit il y a beaucoup de mensonge sur les nazis, par exemple, Hitler était contre la vaccination forcé",0
195,"""""""je suis le maître absolu"""" BAHAHAHA ok hitler 💀 https://t.co/hIsxzAqzYE""",1
196,@KalemiMatilda Le nazi fan d'internement et déportation n'a pas la côte ?,1
197,@skyy_tron @mms_xix réel perso je préfére une fin mauvaise ou quoi mais marquante et incroyable (ex la part 1 de jojo ou le prota crève) qu'une fin gentille et tout,0
198,@__Denilsoon_ @RERB Y'en a vrmt marre de cette sale race de singe,1
199,"@stanislasrig @StephanTroussel Rigault alors, néo nazi.. ou pas? https://t.co/dWnEnewdRh",0
200,@BenBeckkkk @SofianeArbeloa Si tu pars de ce principe il faut laisser la Chine exploiter les ouïghours car c'est leurs principes et il fallait aussi laisser le régime nazi de commettre ce qu'ils ont commis vu que c'était aussi leurs idées.,0
201,"""@Nest_Kly @Cyrilhanouna Comment tu les trouves ? 😅
",0
202,"@__Denilsoon_ @RERB Sale bougnoul de merde , tjr les meme c'est arabe mal élevé retourner dans votre pays",1
203,Avec un peu de chance on crève tous https://t.co/pkr4UwpkV0,0
204,"""Je suis une #femme #metisse d’afrique et d’europe et #musulmane et la, aujourd’hui je viens de me rendre compte que j’ai peur, une vraie peur..j’ai peur de #hitler ou comme vous l’appeler de nos jours : j’ai peur de #Zemmour2022.
",0
205,J’creve tailler loin au soleil à cette h ci,0
206,Fascist republican profiteers nazi coup https://t.co/xp8AofxPF6,1
207,@KmiKzZz_Alexis @terracid C'est vraiment désolant.... Vivement que la plateforme crève. Ils ont supprimés les likes et maintenant ils censure un truc déja censuré qui en plus est un dessin... J'ai hâte que y'ait un bon gros youtubeur (jdg au hasard),0
208,on s’en sort ou on crève à deux,0
209,@idrissaberkane Ça suit la droite ligne de En Marche. Ce slogan récupéré de Pétain « La France En Marche » ! Toute ressemblance avec un petit dictateur Nazi ne serait que pur coïncidence !,1
210,@Marzinhoo_ @DocMartinLyon Quelqu'un peut penser qu'on peut priver une partie de la population en bonne santé de ses droits et libertés sous couvert d'un variant déclaré BENIN par le prof qui l'a séquencé? Qu'à fait Hitler pr stigmatiser les juifs ,1
211,"Quelle est la différence entre un nazi et ce monsieur qui était le meilleur ami et le maître à penser de Francis Lalanne ? Oui Francis Lalanne, le chanteur humaniste, vous savez... 😂🤣 https://t.co/wdOtL09eDa",1
212,@Actu17 Taré! Pourvu qu'il crève!,0
213,"J’ai mis ma première story à la une, je suis officiellement un negro coco jojo https://t.co/gmBmuFbuai",0
214,"Il devrait être nettement moins bridé, au moins. https://t.co/dYhPvfmded",0
215,"@smgdenis @JFaerber L'extrême-droite n'assume jamais son appartenance... Après je reconnais qu'appartenir au même camp historique qu'Hitler et autre Mussolini, c'est pas bon pour la communication...",0
216,@JReberlan @CPASGAGNE69 @christine_kelly @franceinter Il prônait le National SOCIALISTE de Hitler qui n'avait rien à voir avec le socialisme de gauche !,0
217,"""#electionpresidentielle  #Presidentielle2022 Je vois pas comment #Zemmour2022 peut surprendre #MarieLePen prend trop de place  dans l'échiquier mathématiques Zemmour il  ne peut faire qu'un bon % au premier tour mais il sera jamais  Le Petit Hitler qui croit être&gt; ""; ",1
218,"""@Onsenfo11473468 @Chris301001 @RaffyMaurice @LeFcl5600 @Cyrilhanouna Tu as loupé tes cours de sciences pour dire autant de conneries ?
",0
219,"""Elle qui à toujours eu une bonne relation son père se retrouve éplorée lorsque celui-ci quitte le domicile en 1935 sans un mot après être devenu sympathisant nazi. 
",0
220,@imvnita mal à la gorge et au crane.... j'espère c'est juste la crève .....,0
221,@Benoit36562542 @bdemontille @ECiotti @blanc_etienne Oui oui au moins … nazi fascistes tyrans dictateurs. Qu’est ce que vous avez oublié? Cohérents et droits? Conviction et courage? Conservateurs et prophètes ! Demain ils seront érigés comme les ,0
222,Fascist republican profiteers nazi coup https://t.co/RqhDxnbhxX,1
